,Issue Date,License Expiration Date,Reroof Type,Address,Latitude/Longitude
480,07/05/2017,10/31/2018,Comp Shingle,"5750 S MESMER AVE Los Angeles CA, 90230","(33.98373, -118.39868)"
481,07/06/2017,12/31/2017,Built Up,"9167 N RESEDA BLVD Los Angeles CA, 91324","(34.2369, -118.53634)"
482,07/11/2017,06/30/2017,Built Up,"4865 W WASHINGTON BLVD Los Angeles CA, 90016","(34.04021, -118.34581)"
483,07/12/2017,09/30/2017,Built Up,"742 S ALAMEDA ST Los Angeles CA, 90021","(34.03262, -118.23553)"
484,07/14/2017,07/31/2017,Built Up,"6052 S NORMANDIE AVE Los Angeles CA, 90044","(33.98482, -118.30008)"
485,07/17/2017,07/31/2017,Built Up,"6809 S STANFORD AVE Los Angeles CA, 90001","(33.97747, -118.2631)"
486,07/18/2017,03/31/2018,Built Up,"624 S GRAND AVE Los Angeles CA, 90017","(34.04802, -118.25572)"
487,07/20/2017,03/31/2018,Built Up,"973 E 31ST ST Los Angeles CA, 90011","(34.01515, -118.25769)"
488,07/26/2017,10/31/2018,Built Up,"2218 S BARRY AVE Los Angeles CA, 90064","(34.03434, -118.44634)"
489,07/26/2017,12/31/2017,Built Up,"1536 W SLAUSON AVE Los Angeles CA, 90047","(33.989, -118.30383)"
490,08/08/2017,04/30/2018,Built Up,"16200 W VENTURA BLVD Los Angeles CA, 91436","(34.15647, -118.48571)"
491,08/08/2017,01/31/2019,Class A or B,"130 S ALVARADO ST Los Angeles CA, 90057","(34.06574, -118.27071)"
492,08/10/2017,05/31/2017,Built Up,"725 S ALVARADO ST Los Angeles CA, 90057","(34.05581, -118.27741)"
493,08/10/2017,05/31/2017,Built Up,"5110 W SUNSET BLVD Los Angeles CA, 90027","(34.09796, -118.30099)"
494,08/10/2017,04/30/2017,Built Up,"15945 W VENTURA BLVD Los Angeles CA, 91436","(34.15624, -118.48082)"
495,08/11/2017,08/31/2018,Built Up,"1330 E MAURETANIA ST Los Angeles CA, 90744","(33.79012, -118.24689)"
496,08/14/2017,02/28/2018,Built Up,"12755 W VAN NUYS BLVD Los Angeles CA, 91331","(34.27575, -118.41171)"
497,08/16/2017,05/31/2017,Built Up,"15216 W VANOWEN ST Los Angeles CA, 91405","(34.19371, -118.46427)"
498,08/16/2017,11/30/2018,Built Up,"11565 N LAUREL CANYON BLVD Los Angeles CA, 91340","(34.27986, -118.45503)"
499,08/18/2017,12/31/2017,Class A or B,"831 W 9TH ST Los Angeles CA, 90731",
500,08/20/2017,04/30/2018,Built Up,"10000 N COMMERCE AVE Los Angeles CA, 91042","(34.25036, -118.28843)"
501,08/25/2017,03/31/2018,Class A or B,"2003 W JEFFERSON BLVD Los Angeles CA, 90018","(34.02567, -118.31537)"
502,08/28/2017,02/28/2017,Built Up,"6756 N TAMPA AVE Los Angeles CA, 91335","(34.19332, -118.55325)"
503,08/28/2017,05/31/2017,Built Up,"14226 W VENTURA BLVD Los Angeles CA, 91423","(34.14977, -118.44286)"
504,08/29/2017,06/30/2017,Built Up,"17614 W VENTURA BLVD Los Angeles CA, 91316","(34.16179, -118.51676)"
505,09/11/2017,10/31/2017,Built Up,"439 N FAIRFAX AVE Los Angeles CA, 90036","(34.07934, -118.36161)"
506,09/21/2017,11/30/2018,Built Up,"700 WORLD WAY Los Angeles CA, 90045","(33.94286, -118.39982)"
507,09/22/2017,01/31/2018,Built Up,"830 E WASHINGTON BLVD Los Angeles CA, 90021","(34.02587, -118.25412)"
508,09/24/2017,08/31/2018,Built Up,"8656 N RESEDA BLVD Los Angeles CA, 91324","(34.22776, -118.53587)"
509,09/27/2017,01/31/2018,Built Up,"8831 W VENICE BLVD Los Angeles CA, 90034","(34.03083, -118.38619)"
510,10/05/2017,07/31/2017,Built Up,"8338 W 3RD ST Los Angeles CA, 90048","(34.07268, -118.37138)"
511,10/06/2017,10/31/2018,Built Up,"6115 N FALLBROOK AVE Los Angeles CA, 91367","(34.18146, -118.62359)"
512,10/10/2017,03/31/2018,Built Up,"5458 E ALHAMBRA AVE Los Angeles CA, 90032","(34.07813, -118.16647)"
513,10/11/2017,12/31/2018,Built Up,"12448 W BRADDOCK DR Los Angeles CA, 90066","(33.98877, -118.41951)"
514,10/12/2017,01/31/2018,Built Up,"1722 S WESTWOOD BLVD Los Angeles CA, 90024","(34.05135, -118.43811)"
515,10/15/2017,08/31/2018,Built Up,"8660 N RESEDA BLVD Los Angeles CA, 91324","(34.22789, -118.53587)"
516,10/17/2017,07/31/2017,Built Up,"826 E 62ND ST Los Angeles CA, 90001","(33.98313, -118.2601)"
517,10/23/2017,01/31/2019,Built Up,"6800 S AVALON BLVD Los Angeles CA, 90003","(33.97824, -118.26497)"
518,10/23/2017,10/31/2018,Built Up,"7625 S CRENSHAW BLVD Los Angeles CA, 90043","(33.97015, -118.33105)"
519,10/26/2017,07/31/2018,Built Up,"3300 S OVERLAND AVE Los Angeles CA, 90034","(34.02736, -118.4134)"
520,10/27/2017,10/31/2017,Comp Shingle,"4950 W SANTA MONICA BLVD Los Angeles CA, 90029","(34.09069, -118.29755)"
521,11/02/2017,02/28/2018,Built Up,"314 W 58TH ST Los Angeles CA, 90037","(33.98964, -118.27898)"
522,11/02/2017,02/28/2018,Built Up,"326 W 58TH ST Los Angeles CA, 90037","(33.98958, -118.27935)"
523,11/02/2017,02/28/2018,Built Up,"5801 S BROADWAY Los Angeles CA, 90003","(33.98954, -118.27849)"
524,11/02/2017,02/28/2018,Built Up,"2014 W 62ND ST Los Angeles CA, 90047","(33.98325, -118.31408)"
525,11/03/2017,04/30/2019,Built Up,"1153 N CYPRESS AVE Los Angeles CA, 90065","(34.09487, -118.22707)"
526,11/03/2017,03/31/2018,Built Up,"4900 N LANKERSHIM BLVD Los Angeles CA, 91601","(34.16021, -118.37161)"
527,11/05/2017,08/31/2018,Built Up,"8650 N RESEDA BLVD Los Angeles CA, 91324","(34.22762, -118.53587)"
528,11/06/2017,11/30/2018,Comp Shingle,"601 E 23RD ST Los Angeles CA, 90011","(34.02502, -118.26166)"
529,11/07/2017,10/31/2018,Built Up,"449 W IMPERIAL HWY Los Angeles CA, 90061","(33.93118, -118.28213)"
530,11/08/2017,11/30/2015,Built Up,"10925 W KINROSS AVE Los Angeles CA, 90024","(34.06062, -118.44628)"
531,11/08/2017,11/30/2015,Built Up,"10955 W KINROSS AVE Los Angeles CA, 90024","(34.0602, -118.4468)"
532,11/13/2017,05/31/2017,Built Up,"7326 S BROADWAY Los Angeles CA, 90003","(33.97294, -118.2781)"
533,11/14/2017,10/31/2017,Built Up,"1522 W 12TH ST Los Angeles CA, 90015","(34.04561, -118.27511)"
534,11/22/2017,03/31/2018,Built Up,"1390 W 186TH ST Los Angeles CA, 90248","(33.86183, -118.29876)"
535,11/27/2017,12/31/2018,Built Up,"13701 W VENTURA BLVD Los Angeles CA, 91423","(34.14822, -118.4314)"
